Diretório,Arquivo,Município,Zona Eleitoral,Local de Votação,Seção Eleitoral,Versão da aplicação,Turno da UE,Identificação do Modelo de Urna,Fase da UE,Serial de votação da MV
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010080.logjez,03018,0001,1716,0080,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,81111A5B
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010081.logjez,03018,0001,1732,0081,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,1C17F957
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010082.logjez,03018,0001,3778,0082,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,BAF105CC
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010085.logjez,03018,0001,1759,0085,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,12D723AD
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010087.logjez,03018,0001,1805,0087,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,CD60870F
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010088.logjez,03018,0001,1830,0088,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,716DD90F
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010090.logjez,03018,0001,1848,0090,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,F6EBF44D
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010091.logjez,03018,0001,2208,0091,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,D5D5CB55
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010092.logjez,03018,0001,1732,0092,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,7167B965
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010093.logjez,03018,0001,1732,0093,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,5BA9FC39
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010096.logjez,03018,0001,1775,0096,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,85B435A9
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010098.logjez,03018,0001,1759,0098,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,D34C5AE5
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010100.logjez,03018,0001,1732,0100,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,56277560
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010101.logjez,03018,0001,1732,0101,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,18776E7A
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010104.logjez,03018,0001,1376,0104,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,A196E4C7
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010105.logjez,03018,0001,1376,0105,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,C1C63354
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010106.logjez,03018,0001,2208,0106,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,8DB1C51B
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010117.logjez,03018,0001,1759,0117,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,B4558E8D
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010118.logjez,03018,0001,2208,0118,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,E45C5BA9
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010156.logjez,03018,0001,3247,0156,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,2E94F821
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010167.logjez,03018,0001,1481,0167,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,9899FDF2
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010169.logjez,03018,0001,2259,0169,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,FE2810FD
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010170.logjez,03018,0001,1333,0170,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,2A5D32FF
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010171.logjez,03018,0001,1392,0171,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,07EBB0AE
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010176.logjez,03018,0001,1112,0176,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,9B04E6AD
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010177.logjez,03018,0001,1112,0177,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,ED3C7CAB
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010179.logjez,03018,0001,1163,0179,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,D923A4DB
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010180.logjez,03018,0001,1171,0180,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,4667F66D
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010181.logjez,03018,0001,2801,0181,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,2512F1EA
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010183.logjez,03018,0001,1503,0183,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,D638737E
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010185.logjez,03018,0001,1570,0185,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,8B73ED87
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010186.logjez,03018,0001,1775,0186,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,0F4DF133
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010187.logjez,03018,0001,1732,0187,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,0DCD3166
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010189.logjez,03018,0001,1732,0189,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,5AA3C820
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010200.logjez,03018,0001,3050,0200,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,FD3E8B08
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010201.logjez,03018,0001,1376,0201,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,D48D4FBF
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010202.logjez,03018,0001,3301,0202,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,1569C2D8
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010203.logjez,03018,0001,3387,0203,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,30559234
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010204.logjez,03018,0001,1627,0204,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,A3CD3740
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010205.logjez,03018,0001,1716,0205,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,4BDE5E75
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010206.logjez,03018,0001,2208,0206,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,18373055
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010208.logjez,03018,0001,1481,0208,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,2AA31B79
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010209.logjez,03018,0001,1481,0209,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,3EB458B9
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010210.logjez,03018,0001,1481,0210,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,F9376615
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010211.logjez,03018,0001,1112,0211,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,8BBD1D27
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010212.logjez,03018,0001,2259,0212,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,7219053A
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010221.logjez,03018,0001,2275,0221,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,ECCDA047
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010222.logjez,03018,0001,2291,0222,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,A39F0016
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010223.logjez,03018,0001,2305,0223,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,2CD24584
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010226.logjez,03018,0001,2330,0226,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,950B7FA3
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010229.logjez,03018,0001,3298,0229,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,779CB64B
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010231.logjez,03018,0001,2410,0231,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,45F424F3
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010233.logjez,03018,0001,2402,0233,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,E6D3C8C3
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010234.logjez,03018,0001,2410,0234,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,5C06EF7A
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010237.logjez,03018,0001,2445,0237,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,FE75D577
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010239.logjez,03018,0001,1210,0239,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,8AFA98E2
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010241.logjez,03018,0001,2291,0241,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,6C68AD5C
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010242.logjez,03018,0001,1732,0242,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,241F1E63
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010252.logjez,03018,0001,3123,0252,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,CC57FCB9
